tweet
"b'RT @mundodeportivo: \xf0\x9f\xa7\xbe ""Ten\xc3\xada ofertas del Manchester City y el PSG, pero el Bar\xc3\xa7a es un sue\xc3\xb1o""\n\xf0\x9f\x99\x8c ""Poder jugar con Messi ha sido una motivaci\xe2\x80\xa6'"
"b'RT @barcacentre: Overmars: ""Bar\xc3\xa7a fits Frenkie very well. I\'m happy he has chosen for Barcelona. Ajax and Barcelona will always be connecte\xe2\x80\xa6'"
"b'RT @jazarzalejos: Entre el secesionismo en la Generalitat y el populismo en el Ayuntamiento de Barcelona, y con una crisis de seguridad col\xe2\x80\xa6'"
b'RT @Lared1061: #CopaDelRey Alineaci\xc3\xb3n del Barcelona para enfrentar al Sevilla a las 14:30 hrs. Transmisi\xc3\xb3n del 106.1 \xf0\x9f\x98\x8e\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb https://t.co/feKsa\xe2\x80\xa6'
b'RT @EthanPoz: #SOSVenezuela #23Ene #TeamHDP  #Guayana #Tachira #Merida #Caracas #Valencia #Carabobo #Maracaibo #Barinas #Trujillo #Maturin\xe2\x80\xa6'
"b""RT @FTalentScout: Barcelona's midfield 2019/2020? \xf0\x9f\x94\xb5\xf0\x9f\x94\xb4\n\n\xf0\x9f\xa4\x9e https://t.co/XTrTEn3P5w"""
b'RT @brfootball: BREAKING: Barcelona beat PSG to the signing of Ajax midfielder Frenkie De Jong \xf0\x9f\x94\xb5\xf0\x9f\x94\xb4 https://t.co/YKSwnK8J81'
b'RT @alenb259: Suspendidos Nacional-C\xc3\xa9sar Vallejo y Pe\xc3\xb1arol-Barcelona de Guayaquil.\nUn mamarracho.'
b'RT @marca: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8 Ya es OFICIAL: Frenkie De Jong jugar\xc3\xa1 en el Bar\xc3\xa7a https://t.co/TAh7jVIAMe #Fichajes'
"b'RT @diogo_osousa: @filuslucas @Jorge_Seffair30 Sobre a ida do Coutinho pro Bar\xc3\xa7a, pra mim foi um tiro de rasp\xc3\xa3o no p\xc3\xa9. Seria muito maior el\xe2\x80\xa6'"
